type,start_ms,duration_ms
pseudo vote,1748652171536,72
pseudo vote,1748652182223,73
pseudo vote,1748652192968,80
pseudo vote,1748652203633,76
pseudo vote,1748652214265,76
pseudo vote,1748652225015,57
pseudo vote,1748652235660,61
pseudo vote,1748652246359,74
pseudo vote,1748652257078,56
pseudo vote,1748652267781,77
pseudo vote,1748652278477,72
pseudo vote,1748652289198,74
pseudo vote,1748652299815,73
pseudo vote,1748652310502,74
pseudo vote,1748652321155,60
pseudo vote,1748652331797,78
pseudo vote,1748652342467,78
pseudo vote,1748652353174,82
pseudo vote,1748652363754,56
pseudo vote,1748652374459,72
pseudo vote,1748652385336,73
pseudo vote,1748652396125,76
pseudo vote,1748652406847,80
pseudo vote,1748652417491,78
pseudo vote,1748652428202,72
pseudo vote,1748652438840,81
pseudo vote,1748652449539,75
pseudo vote,1748652460256,77
pseudo vote,1748652470976,74
pseudo vote,1748652481714,78
pseudo vote,1748652492367,75
pseudo vote,1748652503144,73
pseudo vote,1748652513782,60
pseudo vote,1748652524502,75
pseudo vote,1748652535155,75
pseudo vote,1748652545788,74
pseudo vote,1748652556439,74
pseudo vote,1748652567130,75
pseudo vote,1748652577841,73
pseudo vote,1748652588555,79
pseudo vote,1748652599365,80
pseudo vote,1748652610107,78
pseudo vote,1748652620806,56
pseudo vote,1748652631465,62
pseudo vote,1748652642103,77
pseudo vote,1748652652676,62
pseudo vote,1748652663392,55
pseudo vote,1748652674085,73
pseudo vote,1748652684800,76
pseudo vote,1748652695517,79
pseudo vote,1748652706229,65
pseudo vote,1748652716956,74
pseudo vote,1748652727580,75
pseudo vote,1748652738180,77
pseudo vote,1748652748898,74
pseudo vote,1748652759612,71
badge,1748651698422,76
badge,1748651709197,75
badge,1748651719972,77
badge,1748651730667,69
badge,1748651741391,70
badge,1748651752083,73
badge,1748651762656,72
badge,1748651773302,54
badge,1748651783957,75
badge,1748651794585,72
badge,1748651805229,70
badge,1748651815789,77
badge,1748651826500,70
badge,1748651837205,70
badge,1748651848070,76
badge,1748651858776,72
badge,1748651869449,76
badge,1748651880018,75
badge,1748651890817,73
badge,1748651901528,71
badge,1748651912280,70
badge,1748651922897,53
badge,1748651933664,67
badge,1748651944417,71
badge,1748651955096,71
badge,1748651965721,76
badge,1748651976348,64
badge,1748651986899,60
badge,1748651997492,72
badge,1748652008231,71
badge,1748652018909,76
badge,1748652029623,70
badge,1748652040282,70
badge,1748652050982,72
badge,1748652061642,75
badge,1748652072306,65
badge,1748652083021,77
badge,1748652093791,53
badge,1748652104486,72
badge,1748652115159,76
badge,1748652125810,74
badge,1748652136504,71
badge,1748652147102,57
badge,1748652157737,70
badge,1748652168456,73
badge,1748652179144,58
badge,1748652189848,72
badge,1748652200554,71
badge,1748652211164,75
badge,1748652221868,70
badge,1748652232612,72
badge,1748652243224,70
badge,1748652253935,75
badge,1748652264612,76
badge,1748652275351,74
badge,1748652286073,72
badge,1748652296779,71
badge,1748652307451,75
badge,1748652318083,71
badge,1748652328723,76
badge,1748652339404,71
badge,1748652350117,76
badge,1748652360703,66
badge,1748652371360,62
badge,1748652382193,71
badge,1748652393016,72
badge,1748652403754,73
badge,1748652414405,72
badge,1748652425104,73
badge,1748652435782,70
badge,1748652446469,52
badge,1748652457129,76
badge,1748652467919,72
badge,1748652478645,72
badge,1748652489325,48
badge,1748652499988,80
badge,1748652510665,76
badge,1748652521406,72
badge,1748652532074,74
badge,1748652542716,75
badge,1748652553376,70
badge,1748652564017,73
badge,1748652574743,71
badge,1748652585456,76
badge,1748652596226,73
badge,1748652607004,75
badge,1748652617721,71
badge,1748652628346,70
badge,1748652638954,71
badge,1748652649580,55
badge,1748652660231,69
badge,1748652670933,72
badge,1748652681682,71
badge,1748652692407,74
badge,1748652703166,74
badge,1748652713836,73
badge,1748652724519,71
badge,1748652735174,53
badge,1748652745819,57
badge,1748652756523,79
