type,start_ms,duration_ms
pseudo vote,1748651764284,1444
pseudo vote,1748651774927,1445
pseudo vote,1748651785596,1422
pseudo vote,1748651796200,1414
pseudo vote,1748651806823,1413
pseudo vote,1748651817424,1446
pseudo vote,1748651828147,1446
pseudo vote,1748651838865,1456
pseudo vote,1748651849741,1417
pseudo vote,1748651860407,1423
pseudo vote,1748651871071,1428
pseudo vote,1748651881743,1432
pseudo vote,1748651892471,1443
pseudo vote,1748651903167,1486
pseudo vote,1748651913904,1427
pseudo vote,1748651924476,1484
pseudo vote,1748651935306,1441
pseudo vote,1748651946013,1434
pseudo vote,1748651956721,1408
pseudo vote,1748651967379,1419
pseudo vote,1748651977952,1408
pseudo vote,1748651988501,1426
pseudo vote,1748651999157,1414
pseudo vote,1748652009886,1419
pseudo vote,1748652020569,1414
pseudo vote,1748652031272,1416
pseudo vote,1748652041926,1410
pseudo vote,1748652052617,1437
pseudo vote,1748652063313,1436
pseudo vote,1748652073956,1436
pseudo vote,1748652084682,1430
pseudo vote,1748652095446,1426
pseudo vote,1748652106115,1416
pseudo vote,1748652116829,1422
pseudo vote,1748652127491,1445
pseudo vote,1748652138136,1434
pseudo vote,1748652148734,1413
pseudo vote,1748652159392,1422
pseudo vote,1748652170106,1411
pseudo vote,1748652180784,1419
pseudo vote,1748652191526,1422
pseudo vote,1748652202198,1414
pseudo vote,1748652212818,1424
pseudo vote,1748652223500,1497
pseudo vote,1748652234215,1424
pseudo vote,1748652244889,1449
pseudo vote,1748652255594,1464
pseudo vote,1748652266272,1486
pseudo vote,1748652276988,1468
pseudo vote,1748652287724,1453
pseudo vote,1748652298370,1426
pseudo vote,1748652309067,1415
pseudo vote,1748652319708,1424
pseudo vote,1748652330333,1441
pseudo vote,1748652341010,1434
pseudo vote,1748652351747,1411
pseudo vote,1748652362308,1425
pseudo vote,1748652372989,1450
pseudo vote,1748652383874,1442
pseudo vote,1748652394691,1413
pseudo vote,1748652405412,1418
pseudo vote,1748652416049,1410
pseudo vote,1748652426759,1424
pseudo vote,1748652437413,1408
pseudo vote,1748652448102,1417
pseudo vote,1748652458810,1423
pseudo vote,1748652469540,1415
pseudo vote,1748652480285,1407
pseudo vote,1748652490937,1409
pseudo vote,1748652501706,1419
pseudo vote,1748652512335,1423
pseudo vote,1748652523045,1436
pseudo vote,1748652533708,1426
pseudo vote,1748652544360,1411
pseudo vote,1748652555007,1411
pseudo vote,1748652565685,1424
pseudo vote,1748652576404,1415
pseudo vote,1748652587120,1411
pseudo vote,1748652597909,1433
pseudo vote,1748652608663,1420
pseudo vote,1748652619378,1408
pseudo vote,1748652630009,1434
pseudo vote,1748652640620,1464
pseudo vote,1748652651217,1442
pseudo vote,1748652661902,1471
pseudo vote,1748652672590,1474
pseudo vote,1748652683315,1462
pseudo vote,1748652694035,1459
pseudo vote,1748652704771,1438
pseudo vote,1748652715479,1456
pseudo vote,1748652726129,1430
pseudo vote,1748652736748,1408
pseudo vote,1748652747462,1415
pseudo vote,1748652758176,1419
badge,1748651697024,1373
badge,1748651707834,1339
badge,1748651718620,1331
badge,1748651729302,1345
badge,1748651740026,1346
badge,1748651750727,1329
badge,1748651761305,1332
badge,1748651771940,1343
badge,1748651782573,1362
badge,1748651793220,1345
badge,1748651803825,1383
badge,1748651814390,1376
badge,1748651825138,1342
badge,1748651835835,1350
badge,1748651846684,1364
badge,1748651857384,1372
badge,1748651868063,1363
badge,1748651878663,1336
badge,1748651889450,1346
badge,1748651900151,1357
badge,1748651910899,1361
badge,1748651921536,1342
badge,1748651932269,1379
badge,1748651943017,1380
badge,1748651953707,1368
badge,1748651964353,1347
badge,1748651974976,1354
badge,1748651985513,1362
badge,1748651996064,1405
badge,1748652006828,1383
badge,1748652017515,1370
badge,1748652028233,1370
badge,1748652038923,1339
badge,1748652049613,1351
badge,1748652060278,1336
